OID_,Join_Count,TARGET_FID,GEOID,tract,Emp_Trn,HH_Dnst,HH_pr__,emp_ml_,trns_v_,wlk_sc_,tf_xpn_,trns__E,trns__M,trnst_pE,trnst_pM,trnst_wE,trnst_wM,prp_v_E,prp_v_M,hshld_E,hshld_M,mn_cm_E,mn_cm_M,means_2,means_3,km_lb_1,km_lb_2,approval_d,comm_area,expiration,ind,name,name_trim,objectid,ref,repealed_d,sbif,show,type,use,wards,tif,tif_number,total_payments,Shape_Length,Shape_Area
1,0,0,17031010100,101.000000000000000,"high local employment, high transit availability","high hh density, high transit availability",15.690689559250000,13707.500000000000000,4.875000000000000,89.250000000000000,0.000000000000000,2611.000000000000000,527.000000000000000,1069.000000000000000,236.000000000000000,106.000000000000000,92.000000000000000,283800.000000000000000,126577.000000000000000,184016600.000000000000000,63806223.000000000000000,0.000000000000000,0.000000000000000,1,2,High Development,Medium Development,,,,,,,,,,,,,,,,,,0.029622384868127,
2,0,1,17031010201,102.010000000000005,"high local employment, high transit availability","high hh density, high transit availability",13.001267249449999,18947.000000000000000,4.750000000000000,99.500000000000000,0.000000000000000,3248.000000000000000,657.000000000000000,1008.000000000000000,474.000000000000000,115.000000000000000,72.000000000000000,179200.000000000000000,20113.000000000000000,163643200.000000000000000,28000141.000000000000000,0.000000000000000,0.000000000000000,1,2,High Development,Medium Development,,,,,,,,,,,,,,,,,,0.029521527706787,
3,0,2,17031010202,102.019999999999996,"high local employment, high transit availability","high hh density, high transit availability",15.690689559250000,15422.000000000000000,4.875000000000000,107.750000000000000,0.000000000000000,1540.000000000000000,261.000000000000000,741.000000000000000,224.000000000000000,42.000000000000000,37.000000000000000,170000.000000000000000,16601.000000000000000,68152300.000000000000000,9951615.000000000000000,0.000000000000000,0.000000000000000,2,2,Low Development,Medium Development,,,,,,,,,,,,,,,,,,0.025416797323913,
4,0,3,17031010300,103.000000000000000,"high local employment, high transit availability","high hh density, high transit availability",18.351486174500000,12825.000000000000000,5.000000000000000,112.500000000000000,0.000000000000000,3364.000000000000000,721.000000000000000,1017.000000000000000,266.000000000000000,36.000000000000000,36.000000000000000,221700.000000000000000,29069.000000000000000,200675200.000000000000000,31606708.000000000000000,0.000000000000000,0.000000000000000,1,2,High Development,Medium Development,,,,,,,,,,,,,,,,,,0.030465765102176,
5,0,4,17031010400,104.000000000000000,"high local employment, high transit availability","high hh density, high transit availability",23.939782968100001,12825.000000000000000,5.000000000000000,101.000000000000000,5514427.000000000000000,2468.000000000000000,412.000000000000000,912.000000000000000,277.000000000000000,305.000000000000000,159.000000000000000,207700.000000000000000,53136.000000000000000,118751000.000000000000000,24220561.000000000000000,0.000000000000000,0.000000000000000,1,2,High Development,Medium Development,,,,,,,,,,,,,,,,,,0.038068402744089,
6,0,5,17031010501,105.010000000000005,"high local employment, high transit availability","high hh density, high transit availability",23.939782968100001,12825.000000000000000,5.000000000000000,121.000000000000000,5514427.000000000000000,2599.000000000000000,503.000000000000000,1214.000000000000000,317.000000000000000,51.000000000000000,46.000000000000000,311900.000000000000000,121162.000000000000000,125696000.000000000000000,22900633.000000000000000,0.000000000000000,0.000000000000000,1,2,High Development,Medium Development,,,,,,,,,,,,,,,,,,0.020846068835788,
7,0,6,17031010502,105.019999999999996,"high local employment, high transit availability","high hh density, high transit availability",23.939782968100001,12825.000000000000000,5.000000000000000,120.250000000000000,5514427.000000000000000,1832.000000000000000,294.000000000000000,788.000000000000000,145.000000000000000,263.000000000000000,151.000000000000000,237900.000000000000000,22429.000000000000000,77763500.000000000000000,11345052.000000000000000,0.000000000000000,0.000000000000000,1,2,High Development,Medium Development,,,,,,,,,,,,,,,,,,0.019311598770468,
8,0,7,17031010503,105.030000000000001,"high local employment, high transit availability","high hh density, high transit availability",23.939782968100001,12825.000000000000000,5.000000000000000,101.000000000000000,5514427.000000000000000,834.000000000000000,216.000000000000000,353.000000000000000,116.000000000000000,87.000000000000000,60.000000000000000,336700.000000000000000,191952.000000000000000,37443400.000000000000000,7275716.000000000000000,0.000000000000000,0.000000000000000,1,2,High Development,Medium Development,,,,,,,,,,,,,,,,,,0.018412274840585,
9,0,8,17031010600,106.000000000000000,"high local employment, high transit availability","high hh density, high transit availability",23.939782968100001,12825.000000000000000,5.000000000000000,120.750000000000000,5514427.000000000000000,3909.000000000000000,624.000000000000000,1464.000000000000000,297.000000000000000,243.000000000000000,194.000000000000000,232000.000000000000000,222835.000000000000000,242723100.000000000000000,47381613.000000000000000,0.000000000000000,0.000000000000000,1,2,High Development,Medium Development,,,,,,,,,,,,,,,,,,0.039242799891867,
10,0,9,17031010701,107.010000000000005,"high local employment, high transit availability","high hh density, high transit availability",13.001267249449999,18947.000000000000000,4.750000000000000,101.500000000000000,17259508.000000000000000,2144.000000000000000,302.000000000000000,363.000000000000000,107.000000000000000,85.000000000000000,55.000000000000000,233200.000000000000000,44188.000000000000000,105933600.000000000000000,13741992.000000000000000,43.000000000000000,5.600000000000000,2,2,Low Development,Medium Development,,,,,,,,,,,,,,,,,,0.027436026154915,
