sampno,perno,dayno,appdate,apptrips,app_activity_begin,app_activity_end,location_activity,acceleration_activity,removed_places,home_start,home_end
20000228,1,2,2017-10-02,6,0,0,1,1,4,0,1
20000228,1,3,2017-10-03,3,0,0,1,1,5,1,1
20000228,1,4,2017-10-04,0,0,0,-9,-9,0,1,1
20000228,1,5,2017-10-05,0,0,0,-9,1,1,1,1
20000228,1,6,2017-10-06,0,0,0,-9,1,0,1,1
20000228,1,7,2017-10-07,-9,-9,-9,-9,-9,-9,-9,-9
20000300,1,2,2017-09-14,2,0,0,1,1,0,0,0
20000300,1,3,2017-09-15,7,0,0,1,1,1,0,0
20000300,1,4,2017-09-16,6,0,0,1,1,1,0,0
20000300,1,5,2017-09-17,3,0,0,1,1,5,0,1
20000300,1,6,2017-09-18,6,0,0,1,1,1,0,0
20000300,1,7,2017-09-19,4,0,0,1,1,1,0,0
20000752,1,2,2017-09-23,6,0,0,1,1,0,1,1
20000752,1,3,2017-09-24,-9,-9,-9,-9,-9,-9,-9,-9
20000752,1,4,2017-09-25,-9,-9,-9,-9,-9,-9,-9,-9
20000752,1,5,2017-09-26,-9,-9,-9,-9,-9,-9,-9,-9
20000752,1,6,2017-09-27,-9,-9,-9,-9,-9,-9,-9,-9
20000752,1,7,2017-09-28,-9,-9,-9,-9,-9,-9,-9,-9
20000752,2,2,2017-09-23,4,1,0,1,1,1,1,1
20000752,2,3,2017-09-24,-9,-9,-9,-9,-9,-9,-9,-9
20000752,2,4,2017-09-25,-9,-9,-9,-9,-9,-9,-9,-9
20000752,2,5,2017-09-26,-9,-9,-9,-9,-9,-9,-9,-9
20000752,2,6,2017-09-27,-9,-9,-9,-9,-9,-9,-9,-9
20000752,2,7,2017-09-28,-9,-9,-9,-9,-9,-9,-9,-9
20000752,3,2,2017-09-23,5,1,0,1,1,3,1,1
20000752,3,3,2017-09-24,2,0,1,1,1,1,1,1
20000752,3,4,2017-09-25,-9,-9,-9,-9,-9,-9,-9,-9
20000752,3,5,2017-09-26,-9,-9,-9,-9,-9,-9,-9,-9
