sampno,perno,placeno,transitno,latitude,longitude,mode,agency_name,line_name,line_short_name,departure_stop_name,arrival_stop_name,imputed
20000300,1,2,1,-9,-9,WALKING,-9,-9,-9,-9,-9,0
20000300,1,2,2,41.897683,-87.620054,BUS,Chicago Transit Authority,STREETERVILLE/TAYLOR,157,PEARSON & DEWITT,CLINTON & JACKSON,0
20000300,1,2,3,-9,-9,WALKING,-9,-9,-9,-9,-9,0
20000300,1,3,1,-9,-9,WALKING,-9,-9,-9,-9,-9,0
20000300,1,3,2,41.876999,-87.639435,BUS,Chicago Transit Authority,WATER TOWER EXPRESS,125,VAN BUREN & CANAL,MIES VAN DER ROHE & PEARSON,0
20000300,1,3,3,-9,-9,WALKING,-9,-9,-9,-9,-9,0
20001025,1,4,1,-9,-9,WALKING,-9,-9,-9,-9,-9,0
20001025,1,4,2,41.908417,-87.687042,BUS,Chicago Transit Authority,WESTERN,49,WESTERN & LE MOYNE,WESTERN & SUNNYSIDE,0
20001025,1,4,3,-9,-9,WALKING,-9,-9,-9,-9,-9,0
20001025,1,5,1,-9,-9,WALKING,-9,-9,-9,-9,-9,0
20001025,1,5,2,41.962953,-87.688862,BUS,Chicago Transit Authority,WESTERN,49,WESTERN & SUNNYSIDE,WESTERN & LE MOYNE,0
20001025,1,5,3,-9,-9,WALKING,-9,-9,-9,-9,-9,0
20001516,1,4,1,-9,-9,PARK AND RIDE,-9,-9,-9,-9,-9,1
20001516,1,4,2,42.040942,-87.886565,HEAVY_RAIL,Metra,UNION PACIFIC NORTHWEST,UP-NW,DES PLAINES,OGILVIE TRANSPORTATION CENTER,1
20001516,1,4,3,-9,-9,WALKING,-9,-9,-9,-9,-9,1
20001516,1,7,1,-9,-9,WALKING,-9,-9,-9,-9,-9,0
20001516,1,7,2,41.882271,-87.640461,HEAVY_RAIL,Metra,UNION PACIFIC NORTHWEST,629,OGILVIE TRANSPORTATION CENTER,DES PLAINES,2
20001516,1,7,3,-9,-9,PARK AND RIDE,-9,-9,-9,-9,-9,0
20002218,1,2,1,-9,-9,WALKING,-9,-9,-9,-9,-9,0
20002218,1,2,2,41.765278,-87.565833,HEAVY_RAIL,Metra,METRA ELECTRIC,ME,SOUTH SHORE,VAN BUREN ST.,0
20002218,1,2,3,-9,-9,WALKING,-9,-9,-9,-9,-9,0
20002218,1,3,1,-9,-9,WALKING,-9,-9,-9,-9,-9,1
20002218,1,3,2,41.877974,-87.629178,BUS,Chicago Transit Authority,STONY ISLAND,28,DEARBORN & JACKSON,STONY ISLAND & 75TH STREET,1
20002218,1,3,3,-9,-9,WALKING,-9,-9,-9,-9,-9,1
20002411,1,4,1,-9,-9,WALKING,-9,-9,-9,-9,-9,0
20002411,1,4,2,41.957577,-87.664262,BUS,Chicago Transit Authority,CLARK,22,CLARK & SOUTHPORT,CLARK & RANDOLPH,2
20002411,1,4,3,-9,-9,WALKING,-9,-9,-9,-9,-9,0
20002411,1,5,1,-9,-9,WALKING,-9,-9,-9,-9,-9,0
20002411,1,5,2,41.884708,-87.629387,BUS,Chicago Transit Authority,CLARK,22,DEARBORN & RANDOLPH,CLARK & BELLE PLAINE,0
20002411,1,5,3,-9,-9,WALKING,-9,-9,-9,-9,-9,0
20002535,1,2,1,-9,-9,TAXI / UBER / LYFT,-9,-9,-9,-9,-9,0
20002535,1,2,2,41.983551,-87.658904,SUBWAY,Chicago Transit Authority,RED LINE,RED,BRYN MAWR,MONROE/STATE,2
20002535,1,2,3,-9,-9,TAXI / UBER / LYFT,-9,-9,-9,-9,-9,0
20002535,1,3,1,-9,-9,WALKING,-9,-9,-9,-9,-9,1
20002535,1,3,2,41.879337,-87.627586,BUS,Chicago Transit Authority,OUTER DRIVE EXPRESS,147,STATE & ADAMS,SHERIDAN & CATALPA,1
20002535,1,3,3,-9,-9,WALKING,-9,-9,-9,-9,-9,1
20002650,1,2,1,-9,-9,WALKING,-9,-9,-9,-9,-9,0
20002650,1,2,2,41.92194,-87.696892,SUBWAY,Chicago Transit Authority,BLUE LINE,-9,CALIFORNIA,CUMBERLAND,0
20002650,1,2,3,-9,-9,WALKING,-9,-9,-9,-9,-9,0
20002650,1,3,1,-9,-9,WALKING,-9,-9,-9,-9,-9,0
20002650,1,3,2,41.984245,-87.838028,SUBWAY,Chicago Transit Authority,BLUE LINE,-9,CUMBERLAND,BELMONT,0
20002650,1,3,3,41.939095,-87.712563,BUS,Chicago Transit Authority,KIMBALL-HOMAN,82,BELMONT & KIMBALL,FULLERTON & KIMBALL,0
20002650,1,3,4,41.924543,-87.712269,BUS,Chicago Transit Authority,FULLERTON,74,FULLERTON & KIMBALL,FULLERTON & ROCKWELL,0
20002650,1,3,5,-9,-9,WALKING,-9,-9,-9,-9,-9,0
20002772,1,2,1,-9,-9,WALKING,-9,-9,-9,-9,-9,0
20002772,1,2,2,41.966045,-87.701645,SUBWAY,Chicago Transit Authority,BROWN LINE,-9,FRANCISCO,WASHINGTON/WABASH,0
20002772,1,2,3,-9,-9,WALKING,-9,-9,-9,-9,-9,0
20002772,1,3,1,-9,-9,WALKING,-9,-9,-9,-9,-9,1
20002772,1,3,2,41.882457,-87.626194,SUBWAY,Chicago Transit Authority,BROWN LINE,-9,WASHINGTON/WABASH,FRANCISCO,1
20002772,1,3,3,-9,-9,WALKING,-9,-9,-9,-9,-9,1
20002935,1,3,1,-9,-9,KISS AND RIDE,-9,-9,-9,-9,-9,0
20002935,1,3,2,42.074993,-87.805903,HEAVY_RAIL,Metra,MILWAUKEE NORTH,2102,GLENVIEW,UNION STATION,2
20002935,1,3,3,-9,-9,WALKING,-9,-9,-9,-9,-9,2
20002935,1,4,1,-9,-9,WALKING,-9,-9,-9,-9,-9,0
20002935,1,4,2,41.877478,-87.639137,HEAVY_RAIL,Metra,MILWAUKEE NORTH,2145,UNION STATION,GLENVIEW,2
20002935,1,4,3,42.072826,-87.805516,BUS,PACE,LINCOLN AVENUE,210,GLENVIEW,EAST LAKE & GREENWOOD,2
20002935,1,4,4,-9,-9,KISS AND RIDE,-9,-9,-9,-9,-9,0
20003355,1,2,1,-9,-9,WALKING,-9,-9,-9,-9,-9,0
20003355,1,2,2,41.992222,-88.183889,HEAVY_RAIL,Metra,MILWAUKEE WEST,MD-W,BARTLETT,ELGIN,0
20003355,1,2,3,-9,-9,WALKING,-9,-9,-9,-9,-9,0
20003716,1,5,1,-9,-9,WALKING,-9,-9,-9,-9,-9,0
20003716,1,5,2,41.562222,-87.668611,HEAVY_RAIL,Metra,METRA ELECTRIC,ME,HOME WOOD METRA,MILLENNIUM STATION,0
20003716,1,5,3,-9,-9,WALKING,-9,-9,-9,-9,-9,0
