sampno,vehno,vehyear,make,make_o,model,model_o,body,body_o,fuel,fuel_o,transp,parkd,parkd_o
20000083,1,2016,37,-1,37032,-1,1,-1,1,-1,1,2,-1
20000136,1,2009,37,-1,37031,-1,1,-1,1,-1,1,3,-1
20000228,1,2016,63,-1,63402,-1,3,-1,1,-1,1,1,-1
20000248,1,2005,20,-1,20404,-1,2,-1,1,-1,1,2,-1
20000471,1,2014,20,-1,20423,-1,3,-1,1,-1,1,3,-1
20000589,1,2009,30,-1,30040,-1,1,-1,1,-1,1,3,-1
20000589,2,2007,30,-1,30047,-1,1,-1,1,-1,2,3,-1
20000752,1,2013,55,-1,55035,-1,1,-1,1,-1,1,1,-1
20000894,1,2010,49,-1,49046,-1,1,-1,3,-1,2,3,-1
20001025,1,2000,37,-1,37032,-1,1,-1,1,-1,1,1,-1
20001516,1,2011,49,-1,49032,-1,1,-1,1,-1,1,2,-1
20001516,2,2007,49,-1,49040,-1,1,-1,1,-1,1,2,-1
20001516,3,1963,19,-1,19003,-1,1,-1,1,-1,2,2,-1
20001516,4,1971,72,-1,72709,-1,7,-1,1,-1,2,3,-1
20001880,1,2014,41,-1,41403,-1,3,-1,1,-1,1,3,-1
20001880,2,2007,41,-1,41051,-1,1,-1,1,-1,1,3,-1
20001882,1,2011,63,-1,63038,-1,1,-1,1,-1,2,1,-1
20001889,1,2010,48,-1,48401,-1,3,-1,1,-1,1,2,-1
20001965,1,2017,49,-1,49402,-1,3,-1,1,-1,2,3,-1
20002017,1,2016,42,-1,42048,-1,1,-1,1,-1,1,3,-1
20002368,1,2007,54,-1,54402,-1,3,-1,1,-1,1,3,-1
20002368,2,2006,20,-1,20445,-1,2,-1,1,-1,1,2,-1
20002368,3,2003,37,-1,37421,-1,3,-1,1,-1,1,2,-1
20002411,1,2017,32,-1,32048,-1,1,-1,1,-1,2,1,-1
20002650,1,2003,52,-1,52047,-1,3,-1,1,-1,1,1,-1
20002772,1,2003,35,-1,35049,-1,3,-1,1,-1,1,3,-1
20002935,1,2017,51,-1,51050,-1,3,-1,1,-1,1,3,-1
20002935,2,2014,37,-1,37032,-1,1,-1,1,-1,1,3,-1
20002935,3,2006,37,-1,37421,-1,3,-1,1,-1,1,2,-1
20003187,1,2003,-7,-1,-7,-1,1,-1,1,-1,1,2,-1
20003264,1,2012,37,-1,37031,-1,1,-1,1,-1,1,1,-1
20003264,2,2008,54,-1,54044,-1,1,-1,1,-1,1,1,-1
20003341,1,2016,37,-1,37441,-1,2,-1,1,-1,1,3,-1
20003341,2,2014,37,-1,37402,-1,3,-1,1,-1,1,3,-1
20003355,1,2012,12,-1,12402,-1,3,-1,1,-1,2,1,-1
20003387,1,2014,19,-1,19024,-1,1,-1,1,-1,1,3,-1
20003387,2,2012,2,-1,2422,-1,3,-1,1,-1,1,3,-1
20003484,1,2008,41,-1,41051,-1,1,-1,1,-1,1,1,-1
20003658,1,1998,51,-1,51043,-1,1,-1,1,-1,1,3,-1
20003738,1,2014,48,-1,48403,-1,1,-1,1,-1,2,3,-1
20003738,2,2012,41,-1,41055,-1,1,-1,1,-1,1,2,-1
20003738,3,2005,7,-1,7482,-1,4,-1,2,-1,2,3,-1
20003996,1,2014,63,-1,63032,-1,1,-1,1,-1,1,3,-1
20004042,1,2012,12,-1,12422,-1,3,-1,1,-1,1,3,-1
20004042,2,2005,22,-1,22020,-1,1,-1,1,-1,2,1,-1
20004111,1,2005,49,-1,49401,-1,3,-1,1,-1,1,2,-1
20004180,1,2010,72,-1,72706,-1,7,-1,1,-1,1,3,-1
20004180,2,2005,41,-1,41045,-1,1,-1,1,-1,2,3,-1
20004180,3,1998,7,-1,7472,-1,4,-1,1,-1,1,3,-1
20004180,4,1997,49,-1,49401,-1,3,-1,1,-1,1,3,-1
20004180,5,2010,72,-1,72706,-1,7,-1,1,-1,2,3,-1
20004206,1,2013,77,-1,77706,-1,7,-1,1,-1,1,3,-1
20004206,2,2008,30,-1,30042,-1,1,-1,1,-1,1,3,-1
20004206,3,2006,76,-1,76704,-1,7,-1,1,-1,1,3,-1
20004206,4,2005,49,-1,49472,-1,4,-1,1,-1,1,3,-1
20004260,1,2011,20,-1,20037,-1,1,-1,1,-1,1,2,-1
20004260,2,2010,7,-1,7027,-1,3,-1,1,-1,1,3,-1
20004327,1,2015,37,-1,37039,-1,1,-1,1,-1,2,2,-1
20004327,2,2015,30,-1,30042,-1,1,-1,1,-1,2,3,-1
20004358,1,2010,51,-1,51050,-1,3,-1,1,-1,1,3,-1
20004409,1,2013,12,-1,12402,-1,3,-1,1,-1,1,3,-1
20004536,1,2014,49,-1,49402,-1,3,-1,1,-1,1,3,-1
20004710,1,2016,37,-1,37039,-1,1,-1,1,-1,2,3,-1
20004710,2,2011,63,-1,63402,-1,1,-1,1,-1,1,3,-1
20005186,1,2008,49,-1,49403,-1,3,-1,1,-1,1,1,-1
20005306,1,2017,12,-1,12401,-1,3,-1,1,-1,1,3,-1
20005306,2,2012,45,-1,45042,-1,1,-1,1,-1,1,3,-1
20005317,1,2015,20,-1,20009,-1,1,-1,1,-1,1,3,-1
20005317,2,2014,18,-1,18022,-1,1,-1,1,-1,1,3,-1
20005317,3,2011,37,-1,37039,-1,1,-1,1,-1,2,3,-1
20005317,4,2001,42,-1,42033,-1,1,-1,1,-1,2,2,-1
20005351,1,2015,2,-1,2404,-1,3,-1,1,-1,1,3,-1
20005351,2,2001,24,-1,24002,-1,1,-1,1,-1,2,3,-1
20005375,1,2015,51,-1,51047,-1,1,-1,1,-1,1,3,-1
20005375,2,2001,51,-1,51043,-1,1,-1,1,-1,1,3,-1
20005375,3,1997,51,-1,51042,-1,1,-1,1,-1,2,3,-1
20005405,1,2006,49,-1,49403,-1,3,-1,1,-1,1,3,-1
20005532,1,2016,35,-1,35043,-1,1,-1,1,-1,2,2,-1
20005565,1,2014,6,-1,6441,-1,2,-1,1,-1,1,3,-1
20005565,2,2013,12,-1,12023,-1,1,-1,1,-1,1,2,-1
20006081,1,2014,48,-1,48401,-1,3,-1,1,-1,1,2,-1
20006140,1,2016,12,-1,12481,-1,4,-1,1,-1,1,2,-1
20006145,1,2015,41,-1,41403,-1,3,-1,1,-1,1,3,-1
20007641,1,2015,12,-1,12481,-1,4,-1,1,-1,1,2,-1
20007641,2,2005,49,-1,49403,-1,3,-1,1,-1,1,3,-1
30000321,1,2004,37,-1,37421,-1,3,-1,1,-1,2,3,-1
30000325,1,2016,32,-1,32042,-1,1,-1,1,-1,1,3,-1
30000325,2,2011,51,-1,51043,-1,1,-1,1,-1,2,3,-1
30000325,3,1986,31,-1,31031,-1,1,-1,1,-1,2,2,-1
30000481,1,2015,32,-1,32048,-1,1,-1,1,-1,1,3,-1
30000598,1,2006,37,-1,37031,-1,1,-1,1,-1,2,1,-1
30000618,1,-7,-7,-1,-7,-1,1,-1,1,-1,2,2,-1
30000642,1,2008,69,-1,69054,-1,1,-1,1,-1,1,3,-1
30000646,1,2014,37,-1,37032,-1,1,-1,1,-1,1,3,-1
30000842,1,2017,12,-1,12402,-1,1,-1,1,-1,1,3,-1
30000842,2,2005,12,-1,12402,-1,1,-1,1,-1,1,2,-1
30000842,3,2004,12,-1,12481,-1,4,-1,1,-1,1,3,-1
30000842,4,2003,37,-1,37739,-1,7,-1,1,-1,2,3,-1
30000844,1,2009,2,-1,2406,-1,3,-1,1,-1,2,1,-1
