TIF Number,TIF District,Report Year,Cost of Studies,Administrative Cost,Marketing Sites,Site Preparation Costs,"Renovation, Rehab, Etc.",Public Works,Removing Contaminants,Job Training,Financing Costs,Capital Costs,School Districts,Library Districts,Relocation Costs,In Lieu of Taxes,Job Training/Retraining,Interest Cost,New Housing,Day Care Services,Other
T-001,35th/Halsted,2017,261095,0,0,219554,426474,5129965,0,0,0,0,0,0,0,0,0,0,0,0,0
T-001,35th/Halsted,2018,124789,0,0,264730,10274,1499235,0,0,0,0,0,0,0,0,0,0,0,0,0
T-002,"Forty-First Street and Dr. Martin Luther King, Jr. Drive",2017,5910,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
T-002,"Forty-First Street and Dr. Martin Luther King, Jr. Drive",2018,5907,0,0,0,0,0,0,0,0,0,0,0,0,0,0,167582,0,0,0
T-004,49th/St. Lawrence,2017,69104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
T-004,49th/St. Lawrence,2018,8020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,168402,0,0,0
T-005,60th/Western,2017,190883,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
T-005,60th/Western,2018,5897,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
T-009,95th/Western,2017,36173,0,0,0,0,185158,0,0,0,0,0,0,0,0,0,0,0,0,0
T-009,95th/Western,2018,23677,0,0,0,0,145388,0,0,0,0,0,0,0,0,0,0,0,0,0
T-010,126th/Torrence,2017,20823,0,0,2077413,0,368279,0,0,0,0,0,0,0,0,0,0,0,0,0
T-013,Bryn Mawr/Broadway,2017,41451,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
T-013,Bryn Mawr/Broadway,2018,36341,0,0,0,160875,10020000,0,52142,0,0,0,0,0,0,0,216182,0,0,0
T-021,Englewood Mall,2017,12732,0,0,30085,0,40609,0,0,0,0,0,0,0,0,0,0,0,0,0
T-021,Englewood Mall,2018,14691,0,0,0,0,540,0,0,0,0,0,0,0,0,0,0,0,0,0
T-023,Goose Island,2017,257912,0,0,707018,0,12365,0,6994,2473790,0,0,0,0,0,0,0,0,0,0
T-023,Goose Island,2018,197395,0,0,778890,0,290522,0,15891,4548341,0,0,0,0,0,0,0,0,0,0
T-024,Homan/Arthington,2017,12047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
T-024,Homan/Arthington,2018,15044,0,0,1000000,0,13504,0,0,0,0,0,0,0,0,0,0,0,0,0
T-027,Irving/Cicero,2017,0,0,0,0,140821,0,0,0,0,0,0,0,0,0,0,0,0,0,0
T-027,Irving/Cicero,2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
T-028,Lincoln/Belmont/Ashland,2017,0,0,0,0,0,0,0,0,763000,0,0,0,0,0,0,0,0,0,0
T-028,Lincoln/Belmont/Ashland,2018,0,0,0,0,0,696311,0,0,0,0,0,0,0,0,0,0,0,0,0
T-029,Michigan/Cermak,2017,29500,0,0,0,0,280631,0,0,0,0,0,0,0,0,0,0,0,0,0
T-029,Michigan/Cermak,2018,94012,0,0,0,21986,0,0,0,0,0,0,0,0,0,0,0,0,0,0
T-030,Near North,2017,585208,0,0,0,0,3625564,0,0,0,0,0,0,0,0,0,0,5929863,0,0
