TIF Number,TIF District,Report Year,Project / IGA,Project Type,Project Number,Project Name,Annual Report Name,Current Year New Deals,Ongoing,Status,Current Year Payments,Estimated Next Year Payments,Private Funds,Private Funds to Completion,Public Funds,Public Funds to Completion
T-001,35th/Halsted,2017,Project,Redevelopment Project,2,Acre,ACRE Mixed-Use Development,false,true,Active Project,219554,264730,0,18093600,1665436.22,2593000
T-001,35th/Halsted,2017,Project,Redevelopment Project,1,Miracle - Pepsi,"Miracle, LLC",false,false,Completed Project,0,0,17050000,0,2970971.75,0
T-001,35th/Halsted,2017,Project,Small Business Improvement Fund Program,3,SBIF - 35th Halsted,SBIF - 35th Halsted,false,true,Active Project,426473,175000,0,5500000,1842516,2750000
T-001,35th/Halsted,2017,Project,TIFWorks Program,4,TIFWorks - 35th Halsted,TIFWorks - 35th Halsted,false,true,Active Project,0,0,0,0,557801.14,882627.62
T-001,35th/Halsted,2017,Project,Redevelopment Project,5,Vienna Beef,Vienna Beef,false,false,Completed Project,0,0,8788376,0,4970000,0
T-001,35th/Halsted,2018,IGA,Chicago Board Education,3,IGA - CBE - Armour Elementary,IGA - CBE - Armour Elementary,false,true,Active Project,0,0,0,0,0,0
T-001,35th/Halsted,2018,IGA,Chicago Park District,2,IGA - CPD - Wilson Park,IGA - CPD - Wilson Park,false,true,Active Project,0,0,0,0,0,0
T-001,35th/Halsted,2018,IGA,Public Building Commission,1,IGA - PBC - Ramova Theater,IGA - PBC - Ramova Theater,false,true,Active Project,0,0,0,0,0,0
T-001,35th/Halsted,2018,Program,Small Business Improvement Fund Program,3,SBIF - 35th Halsted,SBIF - 35th Halsted,false,true,Active Project,0,250000,0,5500000,1842516,2750000
T-001,35th/Halsted,2018,Program,TIFWorks Program,4,TIFWorks - 35th Halsted,TIFWorks - 35th Halsted,false,true,Active Project,0,0,0,0,557801,882627.62
T-001,35th/Halsted,2018,Project,Redevelopment Project,2,Acre,ACRE Mixed-Use Development,false,true,Active Project,264729.9,280633.49,0,18093600,1930166.14,2593000
T-001,35th/Halsted,2018,Project,Redevelopment Project,1,Miracle - Pepsi,"Miracle, LLC",false,false,Completed Project,0,0,17050000,0,2970971.75,0
T-001,35th/Halsted,2018,Project,Redevelopment Project,5,Vienna Beef,Vienna Beef,false,false,Completed Project,0,0,8788376,0,4970000,0
T-002,"Forty-First Street and Dr. Martin Luther King, Jr. Drive",2017,Project,Redevelopment Project,1,P G Stewart - Tower 4 - Constr,Paul G Stewart - Tower 4 - Constr,false,true,Active Project,0,115853,0,9170567,1570467.07,1808000
T-002,"Forty-First Street and Dr. Martin Luther King, Jr. Drive",2018,Project,Redevelopment Project,1,P G Stewart - Tower 4 - Constr,Paul G Stewart - Tower 4 - Constr,false,false,Completed Project,167582,0,9170567,0,1738049.02,0
T-004,49th/St. Lawrence,2017,Project,Redevelopment Project,2,Cornerstone Apartments,Cornerstone Apartments,false,true,Active Project,0,0,0,13507638,2000000,2000000
T-004,49th/St. Lawrence,2017,Project,Redevelopment Project,1,Willard Square,Willard Square Ltd.,false,true,Active Project,0,168402.17,0,7930874,1858256.72,3457564
T-004,49th/St. Lawrence,2018,Project,Redevelopment Project,2,Cornerstone Apartments,Cornerstone Apartments,false,false,Completed Project,0,0,13507638,0,2000000,0
T-004,49th/St. Lawrence,2018,Project,Redevelopment Project,1,Willard Square,Willard Square Ltd.,false,true,Active Project,168402.2,168402,0,7930874,2026658.89,3457564
T-005,60th/Western,2017,Project,Redevelopment Project,1,Kmart,Kmart Corporation,false,false,Completed Project,0,0,18030000,0,3700000,0
T-005,60th/Western,2017,Project,TIFWorks Program,2,TIFWorks - 60th Western,TIFWorks - 60th Western,false,true,Active Project,0,0,0,0,138.74,150000
T-005,60th/Western,2018,Program,TIFWorks Program,2,TIFWorks - 60th Western,TIFWorks - 60th Western,false,true,Active Project,0,0,0,0,138.74,150000
T-005,60th/Western,2018,Project,Redevelopment Project,1,Kmart,Kmart Corporation,false,false,Completed Project,0,0,18030000,0,3700000,0
T-009,95th/Western,2017,Project,Redevelopment Project,1,Borders - 95th Western,DB Beverly L.L.C.,false,false,Completed Project,0,0,4322000,0,1524471.89,0
T-009,95th/Western,2017,Project,Small Business Improvement Fund Program,2,SBIF - 95th Western,SBIF - 95th Western,false,true,Active Project,0,0,0,1500000,3266,750000
T-009,95th/Western,2018,Program,Small Business Improvement Fund Program,2,SBIF - 95th Western,SBIF - 95th Western,false,true,Active Project,0,0,0,1500000,3266,750000
T-009,95th/Western,2018,Project,Redevelopment Project,1,Borders - 95th Western,DB Beverly L.L.C.,false,false,Completed Project,0,0,4322000,0,1524472,0
T-010,126th/Torrence,2017,Project,Redevelopment Project,1,Ford Supplier Park - CMC,"Chicago Manufacturing Campus, LLC",false,false,Completed Project,2077413,0,69336215,0,10951889.65,0
T-011,ERROR: #N/A,2018,Program,TIFWorks Program,2,TIFWorks - Addison Corridor North,TIFWorks - Addison Corridor North,false,true,Active Project,0,0,0,0,0,502388.62
T-013,Bryn Mawr/Broadway,2017,Project,Redevelopment Project,1,Bryn Mawr-Belle Shore,Bryn Mawr-Belle Shore Ltd.,false,true,Active Project,0,0,0,7200000,6547727,9977000
T-013,Bryn Mawr/Broadway,2017,Project,Redevelopment Project,2,Good Taste Bakery,Good Taste Bakery,false,false,Completed Project,0,0,676123,0,225250,0
T-013,Bryn Mawr/Broadway,2017,Project,Redevelopment Project,4,Nookies Restaurant,Nookies/Bryn Mawr Real Estate LLC,false,false,Completed Project,0,0,3132169,0,0,0
T-013,Bryn Mawr/Broadway,2017,Project,Small Business Improvement Fund Program,3,SBIF - Bryn Mawr Broadway,SBIF - Bryn Mawr Broadway,false,true,Active Project,53625,200000,0,3500000,1093944,1750000
T-013,Bryn Mawr/Broadway,2017,Project,TIFWorks Program,5,TIFWorks - Bryn Mawr Broadway,TIFWorks - Bryn Mawr Broadway,false,true,Active Project,0,0,0,0,60511.25,175000
T-013,Bryn Mawr/Broadway,2018,IGA,Chicago Park District,1,IGA - CPD - Park 0435 - Broman Park,IGA - CPD - Park 0435 - Broman Park,false,true,Active Project,0,0,0,0,0,0
