OID_,Join_Count,TARGET_FID,JOIN_FID,STATEFP,COUNTYFP,TRACTCE,GEOID,NAME,NAMELSAD,MTFCC,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON,STATEFP_1,PLACEFP,PLACENS,GEOID_1,NAME_1,NAMELSAD_1,LSAD,CLASSFP,PCICBSA,PCINECTA,MTFCC_1,FUNCSTAT_1,ALAND_1,AWATER_1,INTPTLAT_1,INTPTLON_1,Shape_Length,Shape_Area
1,1,0,1188,17,031,510300,17031510300,5103,Census Tract 5103,G5020,S,2958348.000000000000000,0.000000000000000,+41.7157373,-087.5749771,17,14000,00428803,1714000,Chicago,Chicago city,25,C5,Y,N,G4110,A,589818463.000000000000000,17621529.000000000000000,+41.8370453,-087.6849386,0.076681908148219,0.000320067355750
2,1,1,1188,17,031,520100,17031520100,5201,Census Tract 5201,G5020,S,2581898.000000000000000,521681.000000000000000,+41.7211184,-087.5294325,17,14000,00428803,1714000,Chicago,Chicago city,25,C5,Y,N,G4110,A,589818463.000000000000000,17621529.000000000000000,+41.8370453,-087.6849386,0.093309610165793,0.000335803846077
3,1,5,1188,17,031,590700,17031590700,5907,Census Tract 5907,G5020,S,869830.000000000000000,12614.000000000000000,+41.8260539,-087.6627888,17,14000,00428803,1714000,Chicago,Chicago city,25,C5,Y,N,G4110,A,589818463.000000000000000,17621529.000000000000000,+41.8370453,-087.6849386,0.044339543640896,0.000095635722039
4,1,6,1188,17,031,600400,17031600400,6004,Census Tract 6004,G5020,S,327229.000000000000000,0.000000000000000,+41.8417183,-087.6439322,17,14000,00428803,1714000,Chicago,Chicago city,25,C5,Y,N,G4110,A,589818463.000000000000000,17621529.000000000000000,+41.8370453,-087.6849386,0.024302822637399,0.000035472176378
5,1,13,1188,17,031,813801,17031813801,8138.01,Census Tract 8138.01,G5020,S,841626.000000000000000,0.000000000000000,+41.8503452,-087.7434594,17,14000,00428803,1714000,Chicago,Chicago city,25,C5,Y,N,G4110,A,589818463.000000000000000,17621529.000000000000000,+41.8370453,-087.6849386,0.046115719532036,0.000091245304551
6,1,14,1188,17,031,830600,17031830600,8306,Census Tract 8306,G5020,S,661394.000000000000000,0.000000000000000,+42.0016980,-087.6735738,17,14000,00428803,1714000,Chicago,Chicago city,25,C5,Y,N,G4110,A,589818463.000000000000000,17621529.000000000000000,+41.8370453,-087.6849386,0.036171209421146,0.000071872724847
7,1,15,1188,17,031,830800,17031830800,8308,Census Tract 8308,G5020,S,336529.000000000000000,0.000000000000000,+41.9651413,-087.6765775,17,14000,00428803,1714000,Chicago,Chicago city,25,C5,Y,N,G4110,A,589818463.000000000000000,17621529.000000000000000,+41.8370453,-087.6849386,0.024596551247757,0.000036550104054
8,1,16,1188,17,031,830700,17031830700,8307,Census Tract 8307,G5020,S,861986.000000000000000,7945.000000000000000,+41.9583035,-087.6607646,17,14000,00428803,1714000,Chicago,Chicago city,25,C5,Y,N,G4110,A,589818463.000000000000000,17621529.000000000000000,+41.8370453,-087.6849386,0.049282903764401,0.000094474759900
9,1,17,1188,17,031,830900,17031830900,8309,Census Tract 8309,G5020,S,990467.000000000000000,47216.000000000000000,+41.9284245,-087.6849065,17,14000,00428803,1714000,Chicago,Chicago city,25,C5,Y,N,G4110,A,589818463.000000000000000,17621529.000000000000000,+41.8370453,-087.6849386,0.052918822329488,0.000112636532369
10,1,18,1188,17,031,835200,17031835200,8352,Census Tract 8352,G5020,S,988538.000000000000000,0.000000000000000,+41.7966437,-087.7452866,17,14000,00428803,1714000,Chicago,Chicago city,25,C5,Y,N,G4110,A,589818463.000000000000000,17621529.000000000000000,+41.8370453,-087.6849386,0.043896996702721,0.000107083897812
11,1,19,1188,17,031,839900,17031839900,8399,Census Tract 8399,G5020,S,1153324.000000000000000,13899.000000000000000,+41.8273459,-087.6484540,17,14000,00428803,1714000,Chicago,Chicago city,25,C5,Y,N,G4110,A,589818463.000000000000000,17621529.000000000000000,+41.8370453,-087.6849386,0.050497367350284,0.000126499287933
12,1,20,1188,17,031,839700,17031839700,8397,Census Tract 8397,G5020,S,618387.000000000000000,13451.000000000000000,+41.8336508,-087.6519488,17,14000,00428803,1714000,Chicago,Chicago city,25,C5,Y,N,G4110,A,589818463.000000000000000,17621529.000000000000000,+41.8370453,-087.6849386,0.047425173015583,0.000068483139496
13,1,21,1188,17,031,839800,17031839800,8398,Census Tract 8398,G5020,S,266175.000000000000000,0.000000000000000,+41.8350674,-087.6431623,17,14000,00428803,1714000,Chicago,Chicago city,25,C5,Y,N,G4110,A,589818463.000000000000000,17621529.000000000000000,+41.8370453,-087.6849386,0.026782512011137,0.000028850654966
14,1,22,1188,17,031,834800,17031834800,8348,Census Tract 8348,G5020,S,599866.000000000000000,0.000000000000000,+41.7836336,-087.6450883,17,14000,00428803,1714000,Chicago,Chicago city,25,C5,Y,N,G4110,A,589818463.000000000000000,17621529.000000000000000,+41.8370453,-087.6849386,0.035545565506966,0.000064967684191
15,1,23,1188,17,031,834700,17031834700,8347,Census Tract 8347,G5020,S,657991.000000000000000,0.000000000000000,+41.7906903,-087.6450334,17,14000,00428803,1714000,Chicago,Chicago city,25,C5,Y,N,G4110,A,589818463.000000000000000,17621529.000000000000000,+41.8370453,-087.6849386,0.034238414548117,0.000071270911977
16,1,30,1188,17,031,832000,17031832000,8320,Census Tract 8320,G5020,S,167585.000000000000000,0.000000000000000,+41.9462941,-087.6542982,17,14000,00428803,1714000,Chicago,Chicago city,25,C5,Y,N,G4110,A,589818463.000000000000000,17621529.000000000000000,+41.8370453,-087.6849386,0.024598585617437,0.000018195589902
