GEOID,tract,Emp_Transi,HH_Density,lat,lon,HH_per_acr_med,emp_mile_med,trans_avail_med,walk_score_med,tif_expend_med,transit_means_totE,transit_means_totM,transit_publicE,transit_publicM,transit_walkedE,transit_walkedM,prop_value_medE,prop_value_medM,household_incomeE,household_incomeM,mean_commute_minutesE,mean_commute_minutesM,geometry,means_2,means_3,km_label_1,km_label_2
17031010100,101,"high local employment, high transit availability","high hh density, high transit availability",42.0212553,-87.6698301,15.69068955925,13707.5,4.875,89.25,NA,2611,527,1069,236,106,92,283800,126577,184016600,63806223,NA,NA,"list(list(c(-87.677199, -87.672646, -87.671884, -87.671147, -87.6661544798196, -87.6659253155536, -87.6643432185459, -87.664562, -87.666038, -87.668243, -87.669498, -87.67133, -87.671917, -87.67331, -87.677104, -87.677199, 42.022942, 42.022996, 42.022986, 42.023042, 42.0231296710675, 42.0226423850857, 42.0192782755457, 42.019273, 42.019249, 42.019214, 42.019364, 42.019374, 42.019378, 42.019387, 42.022552, 42.022942)))",2,1,Low Development,Low Development
17031010201,102.01,"high local employment, high transit availability","high hh density, high transit availability",42.0160077,-87.6801484,13.001267249449999,18947,4.75,99.5,NA,3248,657,1008,474,115,72,179200,20113,163643200,28000141,NA,NA,"list(list(c(-87.684653, -87.682811, -87.68163, -87.680448, -87.679742, -87.676855, -87.676539, -87.676018, -87.675678, -87.678187, -87.679853, -87.680095, -87.68027, -87.682683, -87.683086, -87.683688, -87.684083, -87.684183, -87.684653, 42.019485, 42.019467, 42.019457, 42.019447, 42.019441, 42.019411, 42.0179, 42.015679, 42.012617, 42.012575, 42.012543, 42.012538, 42.012536, 42.012497, 42.012323, 42.014035, 42.015151, 42.015575, 42.019485)))",2,1,Low Development,Low Development
17031010202,102.02,"high local employment, high transit availability","high hh density, high transit availability",42.0160476,-87.6733256,15.69068955925,15422,4.875,107.75,NA,1540,261,741,224,42,37,170000,16601,68152300,9951615,NA,NA,"list(list(c(-87.676855, -87.676307, -87.673388, -87.67331, -87.671917, -87.67133, -87.671054, -87.670356, -87.670329, -87.670312, -87.670238, -87.670198, -87.672366, -87.674638, -87.675678, -87.676018, -87.676539, -87.676855, 42.019411, 42.019403, 42.019381, 42.019387, 42.019378, 42.019374, 42.018026, 42.018134, 42.017056, 42.015994, 42.01384, 42.012714, 42.012675, 42.012635, 42.012617, 42.015679, 42.0179, 42.019411)))",1,1,High Development,Low Development
17031010300,103,"high local employment, high transit availability","high hh density, high transit availability",42.0159431,-87.6665393,18.3514861745,12825,5,112.5,NA,3364,721,1017,266,36,36,221700,29069,200675200,31606708,NA,NA,"list(list(c(-87.67133, -87.669498, -87.668243, -87.666038, -87.664562, -87.6643432185459, -87.6633644216982, -87.6623570669287, -87.6613254726181, -87.663453, -87.665924, -87.666294, -87.670198, -87.670238, -87.670312, -87.670329, -87.670356, -87.671054, -87.67133, 42.019374, 42.019364, 42.019214, 42.019249, 42.019273, 42.0192782755457, 42.017197, 42.015055, 42.0128614579828, 42.01283, 42.012787, 42.01278, 42.012714, 42.01384, 42.015994, 42.017056, 42.018134, 42.018026, 42.019374)))",2,1,Low Development,Low Development
17031010400,104,"high local employment, high transit availability","high hh density, high transit availability",42.0064109,-87.6588157,23.9397829681,12825,5,101,5514427,2468,412,912,277,305,159,207700,53136,118751000,24220561,NA,NA,"list(list(c(-87.663453, -87.6613254726181, -87.661084, -87.6598260799485, -87.6583262575682, -87.657656, -87.6568985961032, -87.6567953783635, -87.656296, -87.6559777034826, -87.6556261500996, -87.657063, -87.658657, -87.659347, -87.660553, -87.660712, -87.660725, -87.660783, -87.660848, -87.660851, -87.66089, -87.661295, -87.661692, -87.662089, -87.662485, -87.662946, -87.663453, 42.01283, 42.0128614579828, 42.012348, 42.0103741517046, 42.0080207256299, 42.006969, 42.0042211832155, 42.0038467153274, 
42.002035, 42.0002279061199, 41.998232, 41.998228, 41.998209, 41.998203, 41.998189, 42.000439, 42.000778, 42.002551, 42.004532, 42.004617, 42.005386, 42.006767, 42.007979, 42.009183, 42.010401, 42.011762, 42.01283)))",2,1,Low Development,Low Development
17031010501,105.01,"high local employment, high transit availability","high hh density, high transit availability",42.0094119,-87.6639583,23.9397829681,12825,5,121,5514427,2599,503,1214,317,51,46,311900,121162,125696000,22900633,NA,NA,"list(list(c(-87.665924, -87.663453, -87.662946, -87.662485, -87.662089, -87.661692, -87.661295, -87.662061, -87.661869, -87.663019, -87.663043, -87.665697, -87.665737, -87.665779, -87.665818, -87.665924, 42.012787, 42.01283, 42.011762, 42.010401, 42.009183, 42.007979, 42.006767, 42.006757, 42.006141, 42.006122, 42.006742, 42.006696, 42.007915, 42.009128, 42.010345, 42.012787)))",2,1,Low Development,Low Development
17031010502,105.02,"high local employment, high transit availability","high hh density, high transit availability",42.0045173,-87.6633273,23.9397829681,12825,5,120.25,5514427,1832,294,788,145,263,151,237900,22429,77763500,11345052,NA,NA,"list(list(c(-87.665735, -87.665675, -87.665697, -87.663043, -87.663019, -87.661869, -87.662061, -87.661295, -87.66089, -87.660851, -87.660848, -87.660783, -87.662912, -87.663234, -87.665644, -87.665681, -87.665705, -87.665735, 42.005462, 42.005464, 42.006696, 42.006742, 42.006122, 42.006141, 42.006757, 42.006767, 42.005386, 42.004617, 42.004532, 42.002551, 42.00252, 42.00248, 42.002421, 42.003624, 42.004459, 42.005462)))",2,1,Low Development,Low Development
17031010503,105.03,"high local employment, high transit availability","high hh density, high transit availability",42.0003207,-87.6631262,23.9397829681,12825,5,101,5514427,834,216,353,116,87,60,336700,191952,37443400,7275716,NA,NA,"list(list(c(-87.665644, -87.663234, -87.662912, -87.660783, -87.660725, -87.660712, -87.660553, -87.661853, -87.663029, -87.663071, -87.664293, -87.665436, -87.665519, -87.66557, -87.665583, -87.665596, -87.665644, 42.002421, 42.00248, 42.00252, 42.002551, 42.000778, 42.000439, 41.998189, 41.998174, 41.998162, 41.998161, 41.998148, 41.998136, 41.998526, 41.999966, 42.000384, 42.00083, 42.002421)))",2,1,Low Development,Low Development
17031010600,106,"high local employment, high transit availability","high hh density, high transit availability",42.0062774,-87.667683,23.9397829681,12825,5,120.75,5514427,3909,624,1464,297,243,194,232000,222835,242723100,47381613,NA,NA,"list(list(c(-87.670593, -87.669948, -87.669991, -87.670035, -87.670073, -87.670117, -87.670159, -87.670198, -87.666294, -87.665924, -87.665818, -87.665779, -87.665737, -87.665697, -87.665675, -87.665735, -87.665705, -87.665681, -87.665644, -87.665596, -87.665583, -87.66557, -87.665519, -87.665436, -87.667962, -87.66801, -87.668059, -87.668111, -87.669334, -87.670543, -87.670593, 42.005374, 42.005385, 42.006618, 42.007839, 42.009049, 42.010274, 42.01149, 42.012714, 42.01278, 42.012787, 42.010345, 
42.009128, 42.007915, 42.006696, 42.005464, 42.005462, 42.004459, 42.003624, 42.002421, 42.00083, 42.000384, 41.999966, 41.998526, 41.998136, 41.998109, 41.999937, 42.001763, 42.003587, 42.003568, 42.003549, 42.005374)))",2,1,Low Development,Low Development
17031010701,107.01,"high local employment, high transit availability","high hh density, high transit availability",42.0091482,-87.6786204,13.001267249449999,18947,4.75,101.5,17259508,2144,302,363,107,85,55,233200,44188,105933600,13741992,43,5.6,"list(list(c(-87.682683, -87.68027, -87.680095, -87.679853, -87.678187, -87.675678, -87.675406, -87.675328, -87.675311, -87.675276, -87.675227, -87.679382, -87.680171, -87.681161, -87.681298, -87.681842, -87.681891, -87.682323, -87.683086, -87.682683, 42.012497, 42.012536, 42.012538, 42.012543, 42.012575, 42.012617, 42.011394, 42.008962, 42.007747, 42.006533, 42.005302, 42.005226, 42.005206, 42.00735, 42.007646, 42.008845, 42.008961, 42.010157, 42.012323, 42.012497)))",1,1,High Development,Low Development
